config_name,mse,precision,recall,novelty,diversity,mae,hits,p_name,p_alpha_cf,p_temperature,p_top_k,p_svd_components,p_shrink_term,p_use_popularity_bias,p_popularity_weight,p_use_probabilistic_sampling,p_sampling_top_k_pool,p_award_weight,p_director_weight,p_runtime_weight,p_runtime_outside_malus,p_missing_runtime_malus,p_forbidden_genre_malus,p_missing_year_malus,p_year_below_malus_per_year,p_random_seed,p_verbose_users
G1_PureContent,0.007847905176073859,0.023966065747614,0.019273792135013252,12.836032539066874,0.5667020148462354,0.04995785958619751,0.23966065747614,G1_PureContent,0.0,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G1_ContentDominant,0.007855525432331317,0.02969247083775186,0.022637318751383504,12.441767090300814,0.562460233297985,0.05006060344114431,0.29692470837751855,G1_ContentDominant,0.2,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G1_Balanced,0.007847599272144288,0.02863202545068929,0.02093353649616965,12.397023653250551,0.5623541887592789,0.050063230059835685,0.2863202545068929,G1_Balanced,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G1_CFDominant,0.007848788237650816,0.028738069989395546,0.0210821595239019,12.37420405464092,0.5617179215270413,0.05011246943772429,0.2873806998939555,G1_CFDominant,0.8,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G1_PureCF,0.007848696406478619,0.028738069989395546,0.021002587864266613,12.369009354338077,0.5622481442205727,0.050142354571604326,0.2873806998939555,G1_PureCF,1.0,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G1_ComplexCF,0.007848497023594688,0.02693531283138919,0.020489409769173333,12.385145261553,0.5732767762460234,0.05004629728057552,0.26935312831389185,G1_ComplexCF,0.8,2.0,10,100,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G2_Deterministic,0.007851687652279756,0.029056203605514315,0.021746544626250943,12.407640615807844,0.5618239660657476,0.05006600830558589,0.29056203605514314,G2_Deterministic,0.4,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G2_Conservative,0.04860892383255753,0.02386002120890774,0.01810571032324667,12.584157083128872,0.5671261930010604,0.09130321671505626,0.23860021208907742,G2_Conservative,0.4,0.5,10,30,5,False,0.0,True,20.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G2_Balanced,0.01037340232946998,0.015800636267232236,0.011250972685857669,12.833842645472426,0.5693531283138918,0.05961462579162792,0.15800636267232238,G2_Balanced,0.4,1.0,10,30,5,False,0.0,True,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G2_Adventurous,0.007906905896457954,0.015694591728525983,0.010065718086247278,13.012810345726255,0.5787910922587486,0.05048693651206418,0.1569459172852598,G2_Adventurous,0.4,1.5,10,30,5,False,0.0,True,100.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G2_Chaos,0.007763553679167189,0.010816542948038178,0.006212528331303785,13.538374099732318,0.588441145281018,0.04789696007559645,0.10816542948038176,G2_Chaos,0.4,3.0,10,30,5,False,0.0,True,200.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G2_DeepCatalog,0.0532900374509049,0.02205726405090138,0.014651208179799667,12.753137594556572,0.5704135737009545,0.09383117796435654,0.2205726405090138,G2_DeepCatalog,0.4,0.2,10,30,5,False,0.0,True,,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G3_NoBias,0.007854368614675901,0.029480381760339344,0.022354533314833485,12.423155016899383,0.5622481442205727,0.050065790257274284,0.2948038176033934,G3_NoBias,0.3,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G3_Subtle,0.007888601136919244,0.059597030752916225,0.03829145583101616,10.302727383887538,0.6961823966065748,0.05052516122728949,0.5959703075291622,G3_Subtle,0.3,2.0,10,30,5,True,1.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G3_Moderate,0.007890746743448366,0.0823966065747614,0.05246106099075395,9.42434593250939,0.760763520678685,0.05181010731166182,0.823966065747614,G3_Moderate,0.3,2.0,10,30,5,True,5.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G3_Strong,0.007920480794597224,0.11071049840933192,0.06775379269284477,8.634539356595,0.7809119830328739,0.05424823564227762,1.1071049840933191,G3_Strong,0.3,2.0,10,30,5,True,10.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G3_Dominant,0.00828211722209998,0.11855779427359492,0.07325783279037762,8.406258801107187,0.805408271474019,0.061335487013106135,1.1855779427359492,G3_Dominant,0.3,2.0,10,30,5,True,20.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G4_AllEqual,0.007855397991965921,0.02969247083775186,0.022601970571814754,12.450649624405424,0.563626723223754,0.050049677344286905,0.29692470837751855,G4_AllEqual,0.1,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,5.0,5.0,1.0,50.0,0.1,0.05,42,0
G4_DirectorOnly,0.007863156084576097,0.03160127253446448,0.024465955949645634,12.38342174264267,0.5772004241781548,0.04918331080895319,0.31601272534464475,G4_DirectorOnly,0.1,2.0,10,30,5,False,0.0,False,50.0,0.0,10.0,0.0,5.0,1.0,50.0,0.1,0.05,42,0
G4_AwardOnly,0.01034680472045924,0.02969247083775186,0.022601970571814754,12.452764619538353,0.5629904559915165,0.059062353280509,0.29692470837751855,G4_AwardOnly,0.1,2.0,10,30,5,False,0.0,False,50.0,10.0,0.0,0.0,5.0,1.0,50.0,0.1,0.05,42,0
G4_RuntimeOnly,0.007830739879544569,0.03160127253446448,0.024465955949645634,12.382562784821692,0.5767762460233298,0.04908981105067476,0.31601272534464475,G4_RuntimeOnly,0.1,2.0,10,30,5,False,0.0,False,50.0,0.0,0.0,10.0,5.0,1.0,50.0,0.1,0.05,42,0
G4_NoMeta,0.00783070724711131,0.03160127253446448,0.024465955949645634,12.383670990271996,0.5767762460233298,0.049085309606437616,0.31601272534464475,G4_NoMeta,0.1,2.0,10,30,5,False,0.0,False,50.0,0.0,0.0,0.0,5.0,1.0,50.0,0.1,0.05,42,0
G5_Anarchy,0.007840239657138957,0.03213149522799576,0.024083412525359334,12.281788306017065,0.6405090137857901,0.04960106892353527,0.3213149522799576,G5_Anarchy,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,0.0,0.0,0.1,0.05,42,0
G5_Permissive,0.007845755893188675,0.028738069989395546,0.02119864784293529,12.40316371915204,0.562778366914104,0.04998701595649643,0.2873806998939555,G5_Permissive,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,0.0,5.0,0.1,0.05,42,0
G5_Standard,0.007847599272144288,0.02863202545068929,0.02093353649616965,12.397023653250551,0.5623541887592789,0.050063230059835685,0.2863202545068929,G5_Standard,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G5_Strict,0.008160217992415843,0.03255567338282078,0.020945723839660476,12.249446811073447,0.6051961823966067,0.05190755864510361,0.3255567338282078,G5_Strict,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,10.0,200.0,0.1,0.05,42,0
G5_Draconian,0.010514964785484391,0.0464475079533404,0.023545164897159448,10.66879187945033,0.7422057264050901,0.05929301936516594,0.46447507953340406,G5_Draconian,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,100.0,1000.0,0.1,0.05,42,0
G6_Timeless,0.007835180252774031,0.027889713679745493,0.019015153228810748,12.204071113475138,0.5730646871686108,0.04981882521593776,0.2788971367974549,G6_Timeless,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.0,42,0
G6_Nostalgic,0.007847836022135509,0.02916224814422057,0.021521178768081895,12.318829422705374,0.5655355249204665,0.049922772654834,0.2916224814422057,G6_Nostalgic,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.01,42,0
G6_Modernist,0.007858494715290255,0.0295864262990456,0.02215128128231316,12.468481321004475,0.559915164369035,0.050359157195649415,0.295864262990456,G6_Modernist,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.2,42,0
G6_NewGen,0.007866884790800404,0.030010604453870625,0.022830930371294165,12.486491639587484,0.5625662778366914,0.050585688992201235,0.30010604453870626,G6_NewGen,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.5,42,0
G6_FreshOnly,0.007878972476332262,0.03054082714740191,0.023806441938004037,12.49998794998729,0.5655355249204665,0.050981956119872406,0.3054082714740191,G6_FreshOnly,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,1.5,42,0
G7_Naive,0.007840597483198384,0.026193001060445385,0.01889465115586526,12.426771965995156,0.5671261930010604,0.05006947458371002,0.26193001060445387,G7_Naive,0.8,2.0,10,30,0,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G7_Optimistic,0.007842583664399046,0.02778366914103924,0.01966486382567071,12.394057102779437,0.5589607635206787,0.0500801893454735,0.27783669141039236,G7_Optimistic,0.8,2.0,10,30,2,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G7_Standard,0.007853347729716445,0.02926829268292683,0.022004265593589596,12.346844013321114,0.5597030752916224,0.05013293474180049,0.2926829268292683,G7_Standard,0.8,2.0,10,30,10,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G7_Skeptical,0.00785414563543584,0.031919406150583245,0.023001012776391803,12.319134278902217,0.5617179215270413,0.050151787894503336,0.31919406150583246,G7_Skeptical,0.8,2.0,10,30,30,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G7_Paranoid,0.007854355477426791,0.03266171792152705,0.02338606834383207,12.1612629902136,0.5665959703075291,0.050165706520563805,0.3266171792152704,G7_Paranoid,0.8,2.0,10,30,100,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G8_LowRes_5,0.00783429743290707,0.02534464475079533,0.017689619384323275,12.447124030729938,0.5638388123011665,0.05023394189864859,0.25344644750795337,G8_LowRes_5,0.8,2.0,10,5,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G8_LowRes_15,0.007835320189048861,0.028844114528101806,0.018936357688293198,12.371980402043858,0.5595970307529162,0.05012499393194164,0.28844114528101805,G8_LowRes_15,0.8,2.0,10,15,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G8_MidRes_30,0.007848788237650816,0.028738069989395546,0.0210821595239019,12.37420405464092,0.5617179215270413,0.05011246943772429,0.2873806998939555,G8_MidRes_30,0.8,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G8_HighRes_60,0.00785458714931657,0.027465535524920464,0.021660174621337795,12.405046195498912,0.5602332979851538,0.05009317956067931,0.27465535524920465,G8_HighRes_60,0.8,2.0,10,60,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
